time,total load forecast,total load actual_168,total_non_renewable_168,price actual_48,price actual_72,price actual_168,price actual
2014-12-31 23:00:00,26118.0,,,,,,65.41
2015-01-01 00:00:00,24934.0,,,,,,64.92
2015-01-01 01:00:00,23515.0,,,,,,64.48
2015-01-01 02:00:00,22642.0,,,,,,59.32
2015-01-01 03:00:00,21785.0,,,,,,56.04
2015-01-01 04:00:00,21441.0,,,,,,53.63
2015-01-01 05:00:00,21285.0,,,,,,51.73
2015-01-01 06:00:00,21545.0,,,,,,51.43
2015-01-01 07:00:00,21443.0,,,,,,48.98
2015-01-01 08:00:00,21560.0,,,,,,54.2
2015-01-01 09:00:00,22824.0,,,,,,58.94
2015-01-01 10:00:00,23720.0,,,,,,59.86
2015-01-01 11:00:00,24180.0,,,,,,60.12
2015-01-01 12:00:00,24797.0,,,,,,62.05
2015-01-01 13:00:00,25222.0,,,,,,62.06
2015-01-01 14:00:00,24173.0,,,,,,59.76
2015-01-01 15:00:00,23659.0,,,,,,61.18
2015-01-01 16:00:00,23982.0,,,,,,64.74
2015-01-01 17:00:00,26981.0,,,,,,74.26
2015-01-01 18:00:00,28515.0,,,,,,74.24
2015-01-01 19:00:00,30482.0,,,,,,75.64
2015-01-01 20:00:00,30739.0,,,,,,73.92
2015-01-01 21:00:00,29756.0,,,,,,70.53
2015-01-01 22:00:00,27589.0,,,,,,64.13
2015-01-01 23:00:00,27309.0,,,,,,64.02
2015-01-02 00:00:00,25397.0,,,,,,58.46
2015-01-02 01:00:00,23640.0,,,,,,54.7
2015-01-02 02:00:00,22638.0,,,,,,54.91
2015-01-02 03:00:00,22238.0,,,,,,53.07
2015-01-02 04:00:00,22299.0,,,,,,54.23
2015-01-02 05:00:00,22660.0,,,,,,58.22
2015-01-02 06:00:00,23449.0,,,,,,67.55
2015-01-02 07:00:00,24067.0,,,,,,70.33
2015-01-02 08:00:00,25737.0,,,,,,71.26
2015-01-02 09:00:00,27883.0,,,,,,75.86
2015-01-02 10:00:00,28969.0,,,,,,73.65
2015-01-02 11:00:00,28894.0,,,,,,74.19
2015-01-02 12:00:00,29460.0,,,,,,71.51
2015-01-02 13:00:00,29389.0,,,,,,71.04
2015-01-02 14:00:00,28231.0,,,,,,71.24
2015-01-02 15:00:00,27716.0,,,,,,70.64
2015-01-02 16:00:00,27981.0,,,,,,72.85
2015-01-02 17:00:00,30136.0,,,,,,82.55
2015-01-02 18:00:00,32754.0,,,,,,83.33
2015-01-02 19:00:00,33968.0,,,,,,83.23
2015-01-02 20:00:00,33870.0,,,,,,79.06
2015-01-02 21:00:00,32715.0,,,,,,76.2
2015-01-02 22:00:00,30052.0,,,,,,71.75
2015-01-02 23:00:00,26323.0,,,65.41,,,66.82
2015-01-03 00:00:00,24301.0,,,64.92,,,63.35
